File name,Zone,Patry,Hostplant,Sex,BL,OL,Wing length,Wing width,Wing area,Melanized area,Melanization ratio,LMPC1,LMPC2,LMPC3,LMPC4,LMPC5,LMPC6,Baltic
CHES18_262aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.27,n/a,5.105527638,2.301507538,9.25966516,5.713997121,61.70846378,-0.0034696,0.0070719,0.011348,-0.0057788,-0.0047041,-0.0063132,East
CHES18_266aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.49,n/a,4.845360825,2.175257732,8.460516527,5.012116059,59.24125369,0.0086113,0.0086132,0.014149,-0.0047642,-0.00012882,-0.007255,East
CHES18_266bWing1a.jpg,CHES,Sympatry,Heterophyllum,Female,4.57,1.7,4.804123711,2.18556701,8.336486343,4.401211606,52.79456386,0.005878,0.0056593,-0.0060971,0.0063317,-0.0041222,-0.00050946,East
CHES18_267aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.13,n/a,4.881188119,2.267326733,8.850308793,5.6178806,63.47666201,0.0039256,-0.0020924,0.015442,-9.55E-05,0.010589,-0.0042025,East
CHES18_267bWing1a.jpg,CHES,Sympatry,Heterophyllum,Female,4.84,1.77,4.914572864,2.492462312,9.780965127,6.110451756,62.47289175,0.012854,0.0057617,0.0032789,0.011869,0.0039011,-0.0053192,East
CHES18_268aWing1a.jpg,CHES,Sympatry,Heterophyllum,Male,4.41,n/a,4.571428571,2.226600985,8.308961635,5.319614647,64.02261656,-0.011576,0.0062242,-0.0041237,0.021253,-0.016354,0.008938,East
CHES18_283bWing1a.jpg,CHES,Sympatry,Heterophyllum,Female,4.26,1.59,4.752475248,2.207920792,8.456327811,5.106852269,60.3908976,0.0077401,0.0075541,0.0069526,-0.0059427,-0.0048822,0.0041528,East
CHFI18_104aWing1a.jpg,CHFI,Allopatry,Heterophyllum,Male,4.25,n/a,4.875,2.197916667,8.809787326,4.702148438,53.37414245,-0.013305,-0.0043509,-0.00051994,0.010037,0.0077286,-0.0062584,East
CHFI18_104bWing1a.jpg,CHFI,Allopatry,Heterophyllum,Female,4.21,1.78,5.15625,2.28125,9.289605035,5.282769097,56.8675318,0.016904,-0.0038344,0.015737,0.0075474,0.007711,-0.0019829,East
CHFI18_105aWing1a.jpg,CHFI,Allopatry,Heterophyllum,Male,4.4,n/a,4.71875,2.21875,8.476128472,4.909288194,57.91899227,-0.00129,-0.023929,0.0069903,-0.0096712,-0.010238,0.0053782,East
CHFI18_105bWing1a.jpg,CHFI,Allopatry,Heterophyllum,Female,4.66,1.9,5.06,2.44,9.991,6.5316,65.37483735,-0.0013494,-0.026053,-0.004658,0.002497,-0.0030386,-0.0031865,East
CHFI18_106aWing1a.jpg,CHFI,Allopatry,Heterophyllum,Male,4.07,n/a,4.585858586,2.121212121,7.753698602,5.730027548,73.9005711,0.0067765,-0.011604,-0.0071266,0.0035986,0.0035695,-0.0018393,East
CHFI18_106bWing1a.jpg,CHFI,Allopatry,Heterophyllum,Female,4.33,1.55,4.990196078,2.254901961,9.111880046,6.711553249,73.657173,0.012743,-0.0006754,0.0039435,-8.63E-05,-0.0043385,-0.01138,East
CHFI18_107aWing1a.jpg,CHFI,Allopatry,Heterophyllum,Male,4.31,n/a,4.740740741,1.989417989,7.567761261,4.14579659,54.78233849,-0.0021211,-0.011794,0.0090491,-0.0047617,-0.011873,-0.0065619,East
CHFI18_108aWing1a.jpg,CHFI,Allopatry,Heterophyllum,Male,4.32,n/a,4.84,2.3,9.0086,5.9464,66.00803676,0.007618,-0.003603,0.0043152,0.0036111,-0.0021998,-0.0034206,East
CHFI18_108bWing1a.jpg,CHFI,Allopatry,Heterophyllum,Female,4.49,n/a,5.353535354,2.393939394,10.34231201,6.647689011,64.27662408,-0.0024534,-0.00016909,0.014328,-0.0042572,-0.0047873,-0.0008145,East
